Algoritmo,Iteraciones,Largo del Camino (km),Velocidad Promedio (km/h),Tiempo de Viaje (min),Tiempo Total (s)
dijkstra,2048,3.404046,40.0,5.106069,0.040136098861694336
a_star,194,3.404046,40.0,5.106069,0.01909184455871582
dijkstra,1617,2.8479159999999992,40.0,4.271873999999999,0.03115391731262207
a_star,470,2.8479159999999992,40.0,4.271873999999999,0.021149158477783203
dijkstra,2129,4.480002000000001,47.142857142857146,5.701820727272728,0.04101920127868652
a_star,455,4.480002000000001,47.142857142857146,5.701820727272728,0.020621299743652344
dijkstra,3366,10.795926000000003,51.09243697478992,12.678110467105267,0.05062079429626465
a_star,1929,10.229496999999999,45.45454545454545,13.502936039999998,0.039165496826171875
dijkstra,749,2.08082,40.0,3.12123,0.02430105209350586
a_star,123,2.08082,40.0,3.12123,0.02113628387451172
dijkstra,2702,8.926565,41.42857142857143,12.928128620689654,0.04902935028076172
a_star,850,8.715721,40.80808080808081,12.814698698019802,0.025813817977905273
dijkstra,1028,2.3747590000000005,40.0,3.5621385000000005,0.026484966278076172
a_star,261,2.3747590000000005,40.0,3.5621385000000005,0.018566131591796875
dijkstra,859,1.9301060000000003,44.76190476190476,2.587163361702128,0.023402690887451172
a_star,205,1.8649809999999998,40.869565217391305,2.7379508297872337,0.018451452255249023
dijkstra,2851,4.999903,40.0,7.4998545,0.04402518272399902
a_star,256,4.999903,40.0,7.4998545,0.019385337829589844
dijkstra,3084,5.5831779999999975,46.08108108108108,7.269592469208209,0.04948019981384277
a_star,738,5.5831779999999975,46.08108108108108,7.269592469208209,0.026000261306762695
dijkstra,108,0.523804,40.0,0.7857060000000001,0.016126155853271484
a_star,18,0.523804,40.0,0.7857060000000001,0.01753973960876465
dijkstra,2788,7.681035999999999,49.375,9.333917164556961,0.04352831840515137
a_star,1185,7.681035999999999,49.375,9.333917164556961,0.029409408569335938
dijkstra,4157,11.514531999999994,51.72043010752688,13.357814669438662,0.05791974067687988
a_star,1239,11.174376,40.0,16.761564000000003,0.03215312957763672
dijkstra,3491,9.225350000000002,49.23076923076923,11.243395312500002,0.05028414726257324
a_star,1106,9.225350000000002,49.23076923076923,11.243395312500002,0.02934885025024414
dijkstra,718,1.7357930000000004,40.0,2.6036895000000007,0.02175760269165039
a_star,108,1.7357930000000004,40.0,2.6036895000000007,0.016526222229003906
dijkstra,110,1.9866579999999998,51.25,2.3258435121951218,0.014836549758911133
a_star,23,1.8148380000000002,40.0,2.7222570000000004,0.016996145248413086
dijkstra,4090,9.201452,43.398058252427184,12.721470550335571,0.05801033973693848
a_star,1541,9.251897999999999,40.0,13.877846999999997,0.03360104560852051
dijkstra,4191,9.636698000000008,40.0,14.455047000000011,0.05833840370178223
a_star,1828,9.636698000000008,40.0,14.455047000000011,0.03713726997375488
dijkstra,3597,9.499336999999992,49.586776859504134,11.494197769999989,0.05179572105407715
a_star,2046,9.49498799999999,49.421487603305785,11.527360013377915,0.04153800010681152
dijkstra,4211,6.940186000000001,40.0,10.410279000000001,0.05709695816040039
a_star,1054,7.685874999999998,40.0,11.528812499999997,0.02703118324279785
dijkstra,1387,2.7572970000000003,40.0,4.1359455,0.029435157775878906
a_star,340,2.7572970000000003,40.0,4.1359455,0.02036285400390625
dijkstra,874,1.781202,40.0,2.671803,0.0246734619140625
a_star,126,1.863648,40.0,2.795472,0.01600027084350586
dijkstra,3233,8.337562999999994,46.846846846846844,10.678494149999993,0.04941296577453613
a_star,1875,8.243459,46.3716814159292,10.666154965648854,0.03695249557495117
dijkstra,874,2.081232,40.0,3.121848,0.023841142654418945
a_star,177,2.081232,40.0,3.121848,0.018122196197509766
dijkstra,3385,9.954657000000003,43.904761904761905,13.603978112798268,0.04917645454406738
a_star,2608,9.741820000000002,40.535714285714285,14.419610220264321,0.04687190055847168
dijkstra,4161,10.425995999999998,51.42857142857143,12.163661999999997,0.05987548828125
a_star,1358,10.431498999999999,51.42857142857143,12.170082166666663,0.03351712226867676
dijkstra,985,2.36331,50.0,2.8359719999999995,0.025102853775024414
a_star,168,2.086156,40.8,3.0678764705882355,0.0176239013671875
dijkstra,16,0.201629,40.0,0.30244350000000003,0.015276670455932617
a_star,3,0.201629,40.0,0.30244350000000003,0.017002105712890625
dijkstra,1840,4.5101700000000005,53.9622641509434,5.014804405594406,0.034786224365234375
a_star,646,3.5611410000000006,38.775510204081634,5.510397126315791,0.021793127059936523
dijkstra,1956,4.976534000000002,41.785714285714285,7.145792410256413,0.03761863708496094
a_star,899,4.9648850000000015,40.75471698113208,7.3094140277777795,0.024836063385009766
dijkstra,2284,6.858302000000001,54.35294117647059,7.570852857142858,0.03786921501159668
a_star,833,6.907624000000002,49.743589743589745,8.331876371134022,0.027901172637939453
dijkstra,3337,8.917158999999995,49.310344827586206,10.850249412587406,0.051486968994140625
a_star,1780,8.823054999999995,48.651685393258425,10.881088614318701,0.038053035736083984
dijkstra,1539,4.4961769999999985,53.333333333333336,5.058199124999998,0.0339968204498291
a_star,371,4.4961769999999985,53.333333333333336,5.058199124999998,0.020953893661499023
